epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.467,1.39849,2.38488,1.70515,0.52034,0.50452,0.53563,0.34006,1.63049,1.64022,1.99752,0.0700447,0.00332837,0.00332837
2,378.659,1.19181,1.42505,1.51668,0.55065,0.57859,0.55576,0.36461,1.56209,1.51044,1.9382,0.0399128,0.0065298,0.0065298
3,557.956,1.2052,1.41149,1.5284,0.4395,0.5056,0.45512,0.28619,1.64402,1.91413,2.02547,0.00964891,0.00959923,0.00959923
4,737.98,1.21958,1.417,1.55009,0.5711,0.56253,0.55813,0.3672,1.57284,1.5535,1.94046,0.009406,0.009406,0.009406
5,917.941,1.18298,1.32662,1.51868,0.60339,0.61174,0.63277,0.40897,1.51805,1.37769,1.84582,0.009208,0.009208,0.009208
6,1096.16,1.15519,1.26105,1.50127,0.59876,0.65144,0.65191,0.42551,1.43913,1.26469,1.76858,0.00901,0.00901,0.00901
7,1276.32,1.12261,1.20487,1.47429,0.62117,0.66447,0.64941,0.44665,1.43317,1.23078,1.74068,0.008812,0.008812,0.008812
8,1456.8,1.09898,1.15433,1.44649,0.63703,0.69107,0.68909,0.46451,1.41211,1.19664,1.70858,0.008614,0.008614,0.008614
9,1634.24,1.08393,1.12169,1.4344,0.65605,0.70253,0.69613,0.47403,1.4014,1.1775,1.6663,0.008416,0.008416,0.008416
10,1813.27,1.06682,1.09273,1.4257,0.65119,0.69789,0.69696,0.47345,1.37666,1.12566,1.67372,0.008218,0.008218,0.008218
11,2018.34,1.04679,1.05937,1.40511,0.70644,0.68617,0.70993,0.48936,1.34361,1.07456,1.66892,0.00802,0.00802,0.00802
12,2220.51,1.03046,1.03207,1.39999,0.69772,0.71483,0.71969,0.48202,1.38728,1.10399,1.69509,0.007822,0.007822,0.007822
13,2418.18,1.01584,1.01299,1.39193,0.68107,0.71452,0.72733,0.49777,1.338,1.04636,1.6041,0.007624,0.007624,0.007624
14,2604.09,1.01069,1.00028,1.38741,0.70481,0.72565,0.73846,0.50605,1.32835,1.04425,1.61598,0.007426,0.007426,0.007426
15,2782.93,0.99794,0.98928,1.3796,0.69385,0.74324,0.74747,0.51846,1.29179,1.00881,1.56798,0.007228,0.007228,0.007228
16,2961.47,0.99255,0.95902,1.36744,0.67288,0.75787,0.75007,0.50651,1.32789,0.98678,1.60923,0.00703,0.00703,0.00703
17,3139.82,0.97953,0.94436,1.35681,0.72314,0.73949,0.75893,0.52117,1.28055,0.95697,1.55319,0.006832,0.006832,0.006832
18,3318.55,0.96897,0.92338,1.34605,0.71298,0.74097,0.75474,0.52754,1.30023,0.96822,1.56493,0.006634,0.006634,0.006634
19,3500.53,0.96029,0.91095,1.33997,0.71644,0.76067,0.77161,0.53641,1.26745,0.91748,1.54982,0.006436,0.006436,0.006436
20,3679.09,0.95407,0.89156,1.3341,0.73683,0.74509,0.76267,0.52481,1.26921,0.9509,1.57181,0.006238,0.006238,0.006238
21,3859.23,0.94336,0.87997,1.3269,0.71785,0.76852,0.76678,0.5362,1.24799,0.94173,1.52743,0.00604,0.00604,0.00604
22,4037.66,0.93497,0.86923,1.32163,0.72346,0.78623,0.78403,0.54913,1.24371,0.8757,1.52271,0.005842,0.005842,0.005842
23,4216.97,0.91736,0.85168,1.31012,0.72166,0.77508,0.78676,0.54902,1.26084,0.89278,1.54826,0.005644,0.005644,0.005644
24,4395.35,0.9198,0.83632,1.30759,0.72236,0.7729,0.78249,0.53627,1.25966,0.89564,1.53889,0.005446,0.005446,0.005446
25,4582.34,0.89993,0.82756,1.29925,0.75207,0.75912,0.78358,0.54789,1.24168,0.89516,1.53181,0.005248,0.005248,0.005248
26,4768.77,0.90836,0.82436,1.29782,0.74094,0.78256,0.78904,0.55627,1.23025,0.8646,1.50055,0.00505,0.00505,0.00505
27,4953.4,0.89402,0.80682,1.29067,0.71511,0.79529,0.78106,0.55664,1.22214,0.8638,1.50378,0.004852,0.004852,0.004852
28,5138.31,0.89579,0.79677,1.28689,0.75021,0.76992,0.79531,0.56905,1.1926,0.83944,1.47691,0.004654,0.004654,0.004654
