epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
3,591.01,1.17718,1.33207,1.52443,0.54997,0.59367,0.57289,0.36177,1.62936,1.49656,2.09571,0.00998222,0.00998222,0.00998222
4,1172.94,1.19243,1.37309,1.54993,0.57475,0.66315,0.65646,0.43025,1.52905,1.37029,1.85769,0.00996569,0.00996569,0.00996569
5,1754.69,1.14688,1.27357,1.5118,0.63931,0.67242,0.68591,0.45234,1.49628,1.29282,1.80325,0.00993906,0.00993906,0.00993906
6,2338.51,1.10898,1.19196,1.47485,0.70134,0.7016,0.70907,0.46313,1.50549,1.21523,1.85486,0.00990489,0.00990489,0.00990489
7,2969.02,1.07865,1.14296,1.45922,0.69689,0.72564,0.72736,0.49741,1.40828,1.15022,1.72546,0.00986323,0.00986323,0.00986323
8,3539.31,1.06078,1.10312,1.44376,0.65801,0.75501,0.72826,0.47904,1.44821,1.17969,1.74022,0.00981415,0.00981415,0.00981415
9,4032.53,1.03783,1.05418,1.42219,0.69586,0.73005,0.73085,0.49489,1.43955,1.10622,1.76595,0.00975773,0.00975773,0.00975773
10,4524.52,1.0173,1.01838,1.40666,0.7193,0.77115,0.76981,0.52371,1.39282,1.0393,1.69838,0.00969405,0.00969405,0.00969405
11,5016.75,1.01051,0.99909,1.40107,0.72574,0.74209,0.75289,0.52062,1.36615,1.02506,1.68678,0.0096232,0.0096232,0.0096232
12,5508.92,0.99213,0.96998,1.38596,0.74719,0.77751,0.79447,0.53425,1.39151,1.02376,1.70832,0.00954531,0.00954531,0.00954531
13,6000.95,0.98248,0.95312,1.3818,0.74509,0.74134,0.76817,0.53725,1.34528,1.02983,1.641,0.00946048,0.00946048,0.00946048
14,6492.41,0.97412,0.93674,1.3768,0.74743,0.77511,0.77393,0.53259,1.35269,0.99869,1.65404,0.00936886,0.00936886,0.00936886
15,6984.27,0.95808,0.91171,1.36,0.76381,0.76442,0.79513,0.5487,1.3089,0.9409,1.65098,0.00927057,0.00927057,0.00927057
16,7475.33,0.94905,0.89131,1.35231,0.7615,0.79318,0.80301,0.55501,1.31719,0.91413,1.65967,0.00916577,0.00916577,0.00916577
17,7968.07,0.94308,0.88187,1.34898,0.77559,0.77193,0.79746,0.56686,1.25931,0.93368,1.56464,0.00905463,0.00905463,0.00905463
18,8460.43,0.93345,0.8598,1.34176,0.73037,0.82164,0.80564,0.57336,1.26126,0.91046,1.56775,0.00893732,0.00893732,0.00893732
19,8980.83,0.92484,0.84909,1.3346,0.73299,0.80435,0.80243,0.56262,1.26867,0.95447,1.59233,0.00881401,0.00881401,0.00881401
20,9557.98,0.91679,0.83408,1.32676,0.7678,0.80918,0.81776,0.57708,1.25873,0.8817,1.56773,0.0086849,0.0086849,0.0086849
21,10128.4,0.9077,0.82663,1.32254,0.74861,0.8104,0.80956,0.58141,1.22271,0.87396,1.54893,0.00855018,0.00855018,0.00855018
22,10631.9,0.8961,0.80871,1.31241,0.78795,0.8225,0.83222,0.60042,1.19817,0.81835,1.51108,0.00841006,0.00841006,0.00841006
